Gene	RNA_log2FC	RNA_Pval	RNA_FDR	Prot_log2FC	Prot_Pval	Prot_FDR	Meta_PVal	Meta_FDR
ACE	-0.379711342675174	0.0280220727461012	0.157475632198318	-0.379059832804129	0.0358603024861506	0.0966514488954162	0.00794145211045926	0.0207332390528831
ACIN1	0.104531751750457	0.314345886402898	0.684400467994081	0.148848129952199	0.156292566450096	0.284623678773267	0.197172526520963	0.28169658091102
ACLY	0.521771844644169	0.00231382465468084	0.0275803040356117	0.176029020977016	0.272384982915038	0.422132965584185	0.00527481957339675	0.0148003949877659
ACO1	-0.315063463078663	0.114104255887988	0.38828651401869	-0.29049608028341	0.143658200229991	0.268288824270579	0.0837789623782113	0.140641744976409
ACO2	0.0888308740858372	0.277079263492964	0.640928352917584	0.0776182908031019	0.584654338114211	0.710887570865944	0.456857747747635	0.544355422255905
ACOT1	-0.213318600890671	0.363720599615745	0.734054301042685	-0.3703624815365	0.0183542467432335	0.0591155815156429	0.0401167537966538	0.0773262895032303
ACOT11	0.0205523470736511	0.910498381350034	0.979412103366344	-0.0438529824317506	0.840110631357678	0.902327880823439	0.969906168724244	0.975914205858814
ACOT13	0.510264445941877	0.00324221038148015	0.0350240069188899	-0.0144115090738344	0.943529875659383	0.967286451228025	0.0207702987902811	0.0456323647635932
ACOT7	0.466686499673839	0.00334442237648401	0.0358082540505537	0.876186805759211	7.1570891589942e-06	0.000275222610386777	4.43967828165882e-07	6.56896556842667e-06
ACOT8	-0.12738261862788	0.213726493914059	0.557818980721455	0.0388405503932285	0.782987719112962	0.865892301136687	0.46650767098573	0.553063579849909
ACOT9	-0.0743240700546615	0.481214516126813	0.827159767126971	-0.279719273037902	0.0358246316228559	0.0965894990001504	0.0872407019316747	0.145428879135948
ACOX1	-0.128946761272899	0.237976180318058	0.590932069726739	0.50837979185352	0.000634657642837215	0.00538716086127375	0.0014798267308504	0.00524289489469615
ACOX2	-0.578585773493763	0.00324636196203657	0.0350555278408631	-0.877209022527867	5.69078679227217e-06	0.000235487231719349	3.4744501380343e-07	5.37496717006051e-06
ACOX3	-0.080717342930424	0.50699402461225	0.847307326686381	-0.0894531468922586	0.582292949835145	0.708692218677237	0.655397354695039	0.721970961857782
ACP1	0.324736540671205	0.00267900782483636	0.0305055845924865	0.895716971545346	2.33977496672855e-05	0.000574678922473264	1.10228756966715e-06	1.36705845021246e-05
ACP2	-0.00730893581799297	0.940190244807042	0.979412103366344	-0.10882256656415	0.419017026215775	0.568022729806525	0.760932036557662	0.811313381443899
ACP5	-0.896308043495257	2.74386975478878e-05	0.00115169576000115	-0.227035236013327	0.412643512291949	0.561649571432052	0.000140270141878471	0.000744388139286888
ACP6	0.124909728482246	0.408056079232767	0.769954714754649	-0.480826056592905	0.00336392125431792	0.0171553224583902	0.0104199245882811	0.0261046941779816
ACPP	-0.198400735852799	0.319231559296508	0.690041380569722	-0.0685929030569175	0.749561972095496	0.839377785877905	0.581484864412744	0.660312136119234
ACSF2	-0.320439375410745	0.116469377101627	0.392993388317976	-0.411219990710305	0.0388797128592169	0.102895423604476	0.0289693668389739	0.0595649722126619
ACSF3	-0.0245467205835315	0.810000221215248	0.979412103366344	-0.295092752665417	0.0244255483327541	0.0725902127266158	0.0973970400330955	0.159454575619476
ACSL1	-0.374413806764319	0.0385523279209384	0.194324248372751	-0.147747582579876	0.442711375905963	0.588788651328718	0.0865423385457206	0.144404723897638
ACSL3	0.35681703169509	0.0103263886785714	0.0788696843677691	0.412626596163557	0.00136774682598124	0.00902600411828618	0.000171854437627681	0.000885583695140712
ACSL4	-0.161661649581784	0.327114238045022	0.698709226014759	0.189664318736203	0.27987825648919	0.430242892168119	0.310439328301162	0.399518198599084
ACSL5	-0.463386080139314	0.136929578543325	0.43271695995186	-0.758095105969894	0.0364744328809392	0.0979599054516653	0.0314620673855496	0.0635192022439412
ACSM3	-0.765853410422787	0.011922382198337	0.0870480038241215	-1.03023010580437	0.00108071975022217	0.0076261354756178	0.000157960206864707	0.00082134910625824
ACSS1	-0.61970489207335	0.00143546430521636	0.0195730104112419	-0.556677447694983	0.00363318722281959	0.018080449355914	6.86538716203137e-05	0.000416028077234074
ACSS2	-0.421410027146105	0.0354394304067583	0.184137292821072	-0.299999110564742	0.225421420409831	0.369657025887939	0.0465724535608303	0.0874564898232029
ACSS3	-0.495946369400209	0.0357364947709229	0.185122274252219	-0.566116383937929	0.0084453645523087	0.0336664951315594	0.00274817657560453	0.00864241387749035
ACTA1	0.0716422588334038	0.827296429867779	0.979412103366344	-0.0249567310005943	0.851364382945998	0.909139222132274	0.95120374520096	0.961758374038102
