Gene	RNA_log2FC	RNA_Pval	RNA_FDR	Prot_log2FC	Prot_Pval	Prot_FDR	Meta_PVal	Meta_FDR
ADCY7	-0.235940995436517	0.1316589620305	0.422369187626118	-0.0827940538185868	0.368455796740089	0.517510133993551	0.19530212779693	0.27971966626388
ADCY9	-1.01728765670073	4.18950254526921e-06	0.000318312578412754	-0.617309774730402	9.90293218815875e-06	0.0003181473657411	1.03329291886732e-09	5.55450697106231e-08
ADD1	-0.107512443187773	0.15091392992352	0.457767402148905	-0.452640946629836	6.68015096893938e-05	0.00117950333193609	0.000126064654383391	0.000683071136731472
ADD2	0.0983071874312671	0.775366851470167	0.979412103366344	-0.328281505084894	0.0556129694176327	0.133891527474868	0.178680725378098	0.260660363144309
ADD3	-0.19206103507342	0.288361890198681	0.654280235316365	-0.641579206543998	5.60294552786378e-06	0.000233119274585545	2.3161940765136e-05	0.000172548376268291
ADGRA2	-0.109190798852791	0.452048978313668	0.807831879771085	-0.0460816724072564	0.632016496153174	0.752137168132271	0.643631705783121	0.711738361049501
ADGRF1	-2.95052132802553	9.30952300367425e-07	0.000116537183115598	-0.4496729257	0.00524964444380814	0.0237356251752703	9.84112083831067e-08	1.94531362179517e-06
ADGRF5	-1.54571502845691	6.57475188504793e-06	0.000442196803705377	-0.741617335791907	8.79814408310563e-05	0.00143139036428988	1.28825992699118e-08	3.85035126979124e-07
ADGRG1	0.544861601917713	0.0134752774970101	0.0949568469572322	0.0848742586956292	0.463181157364246	0.606298650742617	0.0379266731103087	0.074030329540289
ADGRL2	-0.0195532085909793	0.908738613911903	0.979412103366344	-0.339339024047072	0.0479399063478981	0.120149587535516	0.18007549954796	0.262018422236094
ADH1B	-2.0334863406406	1.6045333403906e-07	3.76813383475531e-05	-1.41010897737961	1.30474731456575e-05	0.000389582198160926	5.83925454581492e-11	5.59370640593963e-09
ADH1C	-0.498036483697855	0.356513932016426	0.726944435352524	-0.0746493930598811	0.883773537509276	0.931216200785855	0.678972091736509	0.741924461751272
ADH5	0.244003376395929	0.0564541422168175	0.248472902868871	0.141921468817102	0.374139352705585	0.523978686544047	0.102597762835288	0.166437360813128
ADI1	0.137581341782586	0.39653758437656	0.760273395698288	0.725179139912111	1.38453725670957e-06	0.000108042841854571	8.46322931680547e-06	7.44843927622738e-05
ADIRF	0.000533700530767955	0.998902485075442	0.999416281784787	-0.210659238574348	0.59507719296485	0.721024466459957	0.903621073588893	0.923772973300891
ADK	-0.110203269544844	0.540229231664379	0.872274211431047	-0.0864467898533325	0.684672500932434	0.789623814313776	0.737754087922602	0.791684409731104
ADNP	0.3301587467273	0.00198272821957963	0.0246948082785776	0.255731287196223	0.0206254578756866	0.0640465890152846	0.000454115376832806	0.00196476554469874
ADO	0.231499329961991	0.0060675177315914	0.0545124184596545	0.244542752310547	0.00470807914780395	0.0217916806269783	0.000327464142898567	0.00149560640326289
ADPGK	-0.104278877123038	0.248543838972994	0.605499004594406	-0.299591156289614	0.00695987873749435	0.029268809383058	0.0127311158124344	0.0306663112026143
ADPRH	-0.528022114605698	0.000192506781962654	0.00455807003899434	-0.375170393239223	0.001787883813035	0.010838333879338	5.46629897753304e-06	5.15709418688471e-05
ADPRHL2	-0.0343946778482964	0.735861895880445	0.9757922270446	0.340083690289317	0.102231495487967	0.208332770525704	0.269860959875772	0.358152947103334
